parentid,childid,date,sym,time,price,size
V004,V004_160,2020/12/14,600030.SHSE,14:17:43,28.87,5900
V004,V004_161,2020/12/14,600030.SHSE,14:17:45,28.86,2800
V004,V004_162,2020/12/14,600030.SHSE,14:18:21,28.86,3700
V004,V004_163,2020/12/14,600030.SHSE,14:18:36,28.84,18200
V004,V004_164,2020/12/14,600030.SHSE,14:18:45,28.84,14700
V004,V004_165,2020/12/14,600030.SHSE,14:19:48,28.86,200
V004,V004_166,2020/12/14,600030.SHSE,14:22:03,28.81,39400
V004,V004_167,2020/12/14,600030.SHSE,14:22:17,28.81,3200
V004,V004_168,2020/12/14,600030.SHSE,14:24:54,28.8,6900
V004,V004_169,2020/12/14,600030.SHSE,14:25:15,28.81,7400
V004,V004_170,2020/12/14,600030.SHSE,14:26:15,28.81,100
V004,V004_171,2020/12/14,600030.SHSE,14:26:42,28.81,100
V004,V004_172,2020/12/14,600030.SHSE,14:27:42,28.82,300
V004,V004_173,2020/12/14,600030.SHSE,14:29:12,28.83,8300
V004,V004_174,2020/12/14,600030.SHSE,14:32:56,28.84,6100
V004,V004_175,2020/12/14,600030.SHSE,14:33:09,28.86,200
V004,V004_176,2020/12/14,600030.SHSE,14:36:24,28.85,1600
V004,V004_177,2020/12/14,600030.SHSE,14:36:55,28.87,4200
V004,V004_178,2020/12/14,600030.SHSE,14:38:47,28.86,3400
V004,V004_179,2020/12/14,600030.SHSE,14:39:11,28.87,6600
V004,V004_180,2020/12/14,600030.SHSE,14:39:36,28.85,7900
V004,V004_181,2020/12/14,600030.SHSE,14:39:57,28.87,3600
V004,V004_182,2020/12/14,600030.SHSE,14:45:25,28.85,200
V004,V004_183,2020/12/14,600030.SHSE,14:47:09,28.85,300
V004,V004_184,2020/12/14,600030.SHSE,14:47:15,28.85,23000
V004,V004_185,2020/12/14,600030.SHSE,14:48:27,28.85,600
V004,V004_186,2020/12/14,600030.SHSE,14:51:39,28.83,300
V004,V004_187,2020/12/14,600030.SHSE,14:52:13,28.84,6000
V004,V004_188,2020/12/14,600030.SHSE,14:52:21,28.84,600
V004,V004_189,2020/12/14,600030.SHSE,14:53:21,28.83,1900
V004,V004_190,2020/12/14,600030.SHSE,14:55:01,28.8,22000
V004,V004_191,2020/12/14,600030.SHSE,14:55:27,28.8,700
V004,V004_192,2020/12/14,600030.SHSE,15:00:00,28.84,32300
V005,V005_1,2020/12/15,000001.SZSE,9:25:00,18.8,13000
V005,V005_2,2020/12/15,000001.SZSE,9:30:54,18.7,9000
V005,V005_3,2020/12/15,000001.SZSE,9:31:36,18.66,21300
V005,V005_4,2020/12/15,000001.SZSE,9:33:51,18.54,9600
