candle_begin_time,open,high,low,close,volume
2019-04-21 08:00:00,172.89,173.48,164.82,168.59,283450.43943
2019-04-22 08:00:00,168.59,172.3,167.0,170.52,269868.39876
2019-04-23 08:00:00,170.52,175.83,167.78,169.16,363523.34531
2019-04-24 08:00:00,169.15,169.87,159.26,164.78,426497.04153
2019-04-25 08:00:00,164.78,165.49,150.35,154.72,422657.03239
2019-04-26 08:00:00,154.7,162.56,151.4,157.95,500355.86283
2019-04-27 08:00:00,157.93,166.24,156.35,159.31,215918.63842
2019-04-28 08:00:00,159.32,160.24,156.92,157.85,152976.30181
2019-04-29 08:00:00,157.86,159.05,152.0,155.11,243591.94898
2019-04-30 08:00:00,155.14,162.89,155.11,161.83,305056.24653
2019-05-01 08:00:00,161.85,163.88,158.36,160.19,192517.62763
2019-05-02 08:00:00,160.2,163.48,158.5,161.81,289519.02025
2019-05-03 08:00:00,161.82,170.86,160.99,168.06,416357.52123
2019-05-04 08:00:00,168.1,171.3,159.76,163.7,312928.58349
2019-05-05 08:00:00,163.71,165.36,159.18,163.05,176029.10445
2019-05-06 08:00:00,163.05,178.05,157.55,173.0,506528.14278
2019-05-07 08:00:00,172.98,182.76,167.89,169.18,732496.87861
2019-05-08 08:00:00,169.07,173.17,164.8,170.85,296410.76103
2019-05-09 08:00:00,170.88,173.88,166.57,170.9,284663.99456
2019-05-10 08:00:00,170.96,176.7,168.46,172.91,425543.74021
2019-05-11 08:00:00,172.92,205.23,172.92,190.2,885292.38389
2019-05-12 08:00:00,190.2,204.32,181.0,188.11,823372.28148
2019-05-13 08:00:00,188.07,206.87,185.32,195.84,669265.46524
2019-05-14 08:00:00,195.83,219.81,194.19,216.4,864211.00603
2019-05-15 08:00:00,216.4,250.27,216.21,248.1,574697.29927
2019-05-16 08:00:00,248.06,279.76,241.76,264.25,1733360.8936
2019-05-17 08:00:00,264.35,268.74,223.43,244.3,1529892.56898
2019-05-18 08:00:00,244.31,248.0,230.62,233.6,673218.09982
2019-05-19 08:00:00,233.57,264.0,231.77,259.51,823859.06342
2019-05-20 08:00:00,259.37,259.49,238.0,250.37,666889.82241
2019-05-21 08:00:00,250.48,262.0,246.06,253.43,580249.69753
2019-05-22 08:00:00,253.35,260.18,239.63,243.64,592848.95605
2019-05-23 08:00:00,243.68,247.34,231.1,244.56,600193.89368
2019-05-24 08:00:00,244.63,254.35,241.54,248.87,447066.92596
2019-05-25 08:00:00,248.84,257.33,247.22,250.22,332544.38731
2019-05-26 08:00:00,250.17,269.4,245.11,264.45,450090.22324
2019-05-27 08:00:00,264.35,279.59,260.0,270.53,635463.50204
2019-05-28 08:00:00,270.7,275.95,264.45,271.03,409443.69364
2019-05-29 08:00:00,271.08,274.04,260.05,268.83,383412.45769
2019-05-30 08:00:00,268.92,288.62,240.14,254.56,1066279.49387
2019-05-31 08:00:00,254.59,268.72,245.21,267.9,602153.87244
2019-06-01 08:00:00,267.9,275.5,260.68,264.33,455676.98613
2019-06-02 08:00:00,264.33,273.2,263.2,268.88,301536.15062
2019-06-03 08:00:00,268.87,270.0,248.0,249.91,397360.65275
2019-06-04 08:00:00,250.02,251.67,234.39,241.39,633822.71246
2019-06-05 08:00:00,241.46,250.41,237.37,245.63,335953.37927
2019-06-06 08:00:00,245.62,250.66,235.01,248.76,297579.14734
2019-06-07 08:00:00,248.77,253.28,243.46,248.77,353378.6568
2019-06-08 08:00:00,248.78,250.53,240.37,243.25,188448.27748
2019-06-09 08:00:00,243.33,244.53,226.56,230.98,316931.85638
2019-06-10 08:00:00,231.02,247.45,227.03,246.51,314662.52637
2019-06-11 08:00:00,246.61,247.8,236.49,244.29,237508.42798
2019-06-12 08:00:00,244.36,261.87,242.2,261.15,336499.3016
2019-06-13 08:00:00,261.13,262.98,253.69,254.67,291757.21635
